action,reason,order_number,source_file,source_row,client_name,normalized_client_name,client_action,existing_client_id,property_address,city,state,year,status,property_type,fee,ordered_date,inspection_date,completed_date,appraiser_source_name,appraiser_action,appraiser_user_id,reviewer_source_name,reviewer_action,reviewer_user_id,target_operations_scope,import_source,import_batch,existing_order_id,existing_order_number,existing_client_name,confidence,evidence_notes
skip_existing,exact_existing_order_number,2025121,falcon_2025_orders_enriched_review.csv,16,Premier Bank,Premier Bank,reuse,130,18135 Range Line Rd & Kellogg Rd,Bowling Green,OH,2025,completed,Land,1900,2025-03-24,,2025-04-11,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,6b012406-7cfb-45cb-94d7-e27e19d1d97c,2025121,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 242 via exact_order_number
skip_existing,exact_existing_order_number,2025122,falcon_2025_orders_enriched_review.csv,17,Genoa Banking Company,Genoa Banking Company,reuse,101,1201 Champlain Street,Toledo,OH,2025,completed,Office,1200,2025-03-24,,2025-04-14,MS,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,c98ac197-792e-4862-b9a2-5bca134f0492,2025122,Genoa Banking Company,High - Order Book validated,validated/enriched from Order Book row 244 via exact_order_number
skip_existing,exact_existing_order_number,2025123,falcon_2025_orders_enriched_review.csv,18,Premier Bank,Premier Bank,reuse,130,1122 Buck Road,Rossford,OH,2025,completed,Retail,1100,2025-03-24,,2025-04-19,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,5be50f0b-f5f7-4370-b542-6a90f775fb64,2025123,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 246 via exact_order_number
skip_existing,exact_existing_order_number,2025124,falcon_2025_orders_enriched_review.csv,19,Premier Bank,Premier Bank,reuse,130,1130 Buck Road,Rossford,OH,2025,completed,Retail,1700,2025-03-24,,2025-04-10,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,fa43d72a-d839-49c4-9596-eeb805ac766b,2025124,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 248 via exact_order_number
skip_existing,exact_existing_order_number,2025125,falcon_2025_orders_enriched_review.csv,20,State Bank & Trust Co.,State Bank & Trust Co.,reuse,92,717 Perry Street,Defiance,OH,2025,completed,Office,1300,2025-03-25,2025-03-31,2025-04-10,MS,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,70d41618-5962-4673-8d1b-6388fe9ae8f6,2025125,State Bank & Trust Co.,High - Order Book validated,validated/enriched from Order Book row 250 via exact_order_number
skip_existing,exact_existing_order_number,2025126,falcon_2025_orders_enriched_review.csv,21,Civista Bank,Civista Bank,reuse,133,1431 Oakwood Avenue,Napoleon,OH,2025,completed,Industrial,1100,2025-03-25,2025-04-01,2025-04-08,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,abff7421-351d-4324-b9e7-f977232e0010,2025126,Civista Bank,High - Order Book validated,validated/enriched from Order Book row 252 via exact_order_number
skip_existing,exact_existing_order_number,2025127,falcon_2025_orders_enriched_review.csv,22,Premier Bank,Premier Bank,reuse,130,214-216 & 222 North Market Street,Van Wert,OH,2025,completed,Industrial,1500,2025-03-25,2025-03-31,2025-04-09,CD,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,cd03e1d5-8a74-4319-b26b-12262e9bfced,2025127,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 254 via exact_order_number
skip_existing,exact_existing_order_number,2025128,falcon_2025_orders_enriched_review.csv,23,Bob Falk,Bob Falk,reuse,131,1102 N Summit Street,Toledo,OH,2025,completed,Industrial,1200,2025-03-26,2025-03-31,2025-04-10,MS,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,6bfb1bce-4cff-49e9-81be-bb28180230b1,2025128,Bob Falk,High - Order Book validated,validated/enriched from Order Book row 256 via exact_order_number
skip_existing,exact_existing_order_number,2025130,falcon_2025_orders_enriched_review.csv,24,Superior Credit Union,Superior Credit Union,reuse,13,2625-2637 Navarre Avenue,Oregon,OH,2025,completed,Multifamily,1400,2025-03-26,2025-04-02,2025-04-14,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,bd31d8f4-f3f4-4267-9861-cdd0dc909ab5,2025130,Superior Credit Union,High - Order Book validated,validated/enriched from Order Book row 260 via exact_order_number
skip_existing,exact_existing_order_number,2025134,falcon_2025_orders_enriched_review.csv,25,Union Bank,Union Bank,reuse,6,2000 N Cole Street,Lima,OH,2025,completed,Special Purpose,1500,2025-04-01,,2025-04-22,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,853b06b4-75a4-4bf7-bf91-1fffcb944fc1,2025134,The Union Bank Company,High - Order Book validated,validated/enriched from Order Book row 268 via exact_order_number
skip_existing,exact_existing_order_number,2025135,falcon_2025_orders_enriched_review.csv,26,Union Bank,Union Bank,reuse,6,290 N Main Street,Dunkirk,OH,2025,completed,Retail,1300,2025-04-01,,2025-04-22,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,c77c92e5-6f1f-4742-ba15-8ce6f47fe261,2025135,The Union Bank Company,High - Order Book validated,validated/enriched from Order Book row 270 via exact_order_number
skip_existing,exact_existing_order_number,2025136,falcon_2025_orders_enriched_review.csv,27,Union Bank,Union Bank,reuse,6,6048 Deer Park Court,Toledo,OH,2025,completed,Office,1250,2025-04-01,,2025-04-22,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,11b40ab0-8228-4e42-87ae-3b1f581c46ec,2025136,The Union Bank Company,High - Order Book validated,validated/enriched from Order Book row 272 via exact_order_number
skip_existing,exact_existing_order_number,2025137,falcon_2025_orders_enriched_review.csv,28,Union Bank,Union Bank,reuse,6,6056 Deer Park Court,Toledo,OH,2025,completed,Office,1250,2025-04-01,,2025-04-22,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,191bc9aa-e8d1-4038-8577-d5f926fd7e36,2025137,The Union Bank Company,High - Order Book validated,validated/enriched from Order Book row 274 via exact_order_number
skip_existing,exact_existing_order_number,2025138,falcon_2025_orders_enriched_review.csv,29,Guy Saglioccolo,Guy Saglioccolo,reuse,137,5425 Southwyck Blvd,Toledo,OH,2025,completed,Office,1500,2025-03-31,,2025-07-30,CD,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,6f752d72-f047-4743-a3b1-6d9117b13e9b,2025138,Guy Saglioccolo,High - Order Book validated,validated/enriched from Order Book row 276 via exact_order_number
skip_existing,exact_existing_order_number,2025139,falcon_2025_orders_enriched_review.csv,30,Guy Saglioccolo,Guy Saglioccolo,reuse,137,2205 Parkwood Avenue,Toledo,OH,2025,completed,Multifamily,1000,2025-03-31,,2025-04-30,CD,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,b4936f27-3c89-424e-9280-fa39f05d09d0,2025139,Guy Saglioccolo,High - Order Book validated,validated/enriched from Order Book row 278 via exact_order_number
skip_existing,exact_existing_order_number,2025141,falcon_2025_orders_enriched_review.csv,31,Guy Saglioccolo,Guy Saglioccolo,reuse,137,2271 Parkwood Avenue,Toledo,OH,2025,completed,Multifamily,1000,2025-03-31,,2025-04-30,CD,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,fad56f50-6fe7-49ad-9245-b3ae2e357144,2025141,Guy Saglioccolo,High - Order Book validated,validated/enriched from Order Book row 282 via exact_order_number
skip_existing,exact_existing_order_number,2025143,falcon_2025_orders_enriched_review.csv,32,State Bank & Trust Co.,State Bank & Trust Co.,reuse,92,Monroe Street,Sandusky,OH,2025,completed,Industrial,1300,2025-03-03,,2025-04-04,Stout,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,55bc366f-24b9-4a5d-b6c3-1b5e764bf6e7,2025143,State Bank & Trust Co.,High - Order Book validated,validated/enriched from Order Book row 286 via exact_order_number
skip_existing,exact_existing_order_number,2025145,falcon_2025_orders_enriched_review.csv,33,Farmers & Merchants State Bank,Farmers & Merchants State Bank,reuse,94,S Defiance St,Archbold,OH,2025,completed,Land,1300,2025-04-03,2025-04-08,2025-04-21,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,59ee7cfa-c15f-4bc7-b11f-181257d0a632,2025145,Farmers & Merchants State Bank,High - Order Book validated,validated/enriched from Order Book row 290 via exact_order_number
skip_existing,exact_existing_order_number,2025146,falcon_2025_orders_enriched_review.csv,34,Peter Dewhirst,Peter Dewhirst,reuse,46,8442 Aarons Wood Ct,Sylvania,OH,2025,completed,Residential,500,,,2025-04-09,Stout,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,910b32fd-f8ab-4f42-89eb-c60fb018b4f3,2025146,Peter Dewhirst,High - Order Book validated,validated/enriched from Order Book row 292 via exact_order_number
skip_existing,exact_existing_order_number,2025147,falcon_2025_orders_enriched_review.csv,35,State Bank & Trust Co.,State Bank & Trust Co.,reuse,92,Upton Street,Defiance,OH,2025,completed,Multifamily,2500,2025-04-04,2025-04-08,2025-04-22,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,a1c408d8-8f18-4886-933b-ec6c2dcd9d6a,2025147,State Bank & Trust Co.,High - Order Book validated,validated/enriched from Order Book row 294 via exact_order_number
skip_existing,exact_existing_order_number,2025150,falcon_2025_orders_enriched_review.csv,36,Basem Kareem,Basem Kareem,reuse,58,1310 Lagrange Street,Toledo,OH,2025,completed,Industrial,800,2025-04-10,,2025-04-30,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,3e674214-3a3b-4be5-92ae-cfed5246e90c,2025150,Basem Kareem,High - Order Book validated,validated/enriched from Order Book row 300 via exact_order_number
skip_existing,exact_existing_order_number,2025151,falcon_2025_orders_enriched_review.csv,37,Basem Kareem,Basem Kareem,reuse,58,1402 Lagrange Street,Toledo,OH,2025,completed,Industrial,800,2025-04-10,,2025-04-30,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,32813151-d8f4-4341-ac7c-191c1c29c41b,2025151,Basem Kareem,High - Order Book validated,validated/enriched from Order Book row 302 via exact_order_number
skip_existing,exact_existing_order_number,2025153,falcon_2025_orders_enriched_review.csv,38,Peter Dewhirst,Peter Dewhirst,reuse,46,4656 Glendale Avenue,Toledo,OH,2025,completed,Residential,500,,,2025-04-11,Stout,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,bb42a9db-dc73-4267-858e-cf37244baa87,2025153,Peter Dewhirst,High - Order Book validated,validated/enriched from Order Book row 306 via exact_order_number
skip_existing,exact_existing_order_number,2025156,falcon_2025_orders_enriched_review.csv,39,State Bank & Trust Co.,State Bank & Trust Co.,reuse,92,1330 Bellefontaine Avenue,Lima,OH,2025,completed,Retail,1300,2025-04-16,,2025-04-25,Stout,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,1485db42-1766-4151-88a9-33e13898071b,2025156,State Bank & Trust Co.,High - Order Book validated,validated/enriched from Order Book row 312 via exact_order_number
skip_existing,exact_existing_order_number,2025158,falcon_2025_orders_enriched_review.csv,40,Peter Dewhirst,Peter Dewhirst,reuse,46,4455 Secor Road,Toledo,OH,2025,completed,Industrial,1500,2025-04-16,,2025-05-20,Stout,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,448590c5-3e5b-4fc5-b08b-08614fbf2659,2025158,Peter Dewhirst,High - Order Book validated,validated/enriched from Order Book row 316 via exact_order_number
skip_existing,exact_existing_order_number,2025159,falcon_2025_orders_enriched_review.csv,41,Peter Dewhirst,Peter Dewhirst,reuse,46,33 S Byrne Road,Toledo,OH,2025,completed,Retail,1500,2025-04-16,,2025-05-28,Stout,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,da2ffcad-91b7-4787-9e75-eb1055530f83,2025159,Peter Dewhirst,High - Order Book validated,validated/enriched from Order Book row 318 via exact_order_number
skip_existing,exact_existing_order_number,2025160,falcon_2025_orders_enriched_review.csv,42,Richwood Banking Company,Richwood Banking Company,reuse,127,Lemasters Road,Richwood,OH,2025,completed,Land,1150,2025-04-17,,2025-05-01,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,cdb7eee4-1bc2-4a0c-ac7b-61834eb5a060,2025160,Richwood Banking Company,High - Order Book validated,validated/enriched from Order Book row 320 via exact_order_number
skip_existing,exact_existing_order_number,2025161,falcon_2025_orders_enriched_review.csv,43,Richwood Banking Company,Richwood Banking Company,reuse,127,CR 200,Mount Victory,OH,2025,completed,Land,1150,2025-04-17,,2025-05-01,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,02c83ceb-b1d2-486c-ab87-97f040447374,2025161,Richwood Banking Company,High - Order Book validated,validated/enriched from Order Book row 322 via exact_order_number
skip_existing,exact_existing_order_number,2025163,falcon_2025_orders_enriched_review.csv,44,Premier Bank,Premier Bank,reuse,130,6705 Wales Road,Northwood,OH,2025,completed,Industrial,1300,2025-04-21,2025-04-24,2025-05-07,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,3438423b-d675-4473-b26c-c4fa52b84191,2025163,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 326 via exact_order_number
skip_existing,exact_existing_order_number,2025164,falcon_2025_orders_enriched_review.csv,45,Premier Bank,Premier Bank,reuse,130,1802 Nebraska Avenue,Toledo,OH,2025,completed,Industrial,1300,2025-04-21,2025-04-24,2025-05-07,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,e689bf2b-291c-4c0e-8048-1cd563bd3afb,2025164,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 328 via exact_order_number
skip_existing,exact_existing_order_number,2025165,falcon_2025_orders_enriched_review.csv,46,Premier Bank,Premier Bank,reuse,130,3730 South Avenue,Toledo,OH,2025,completed,Industrial,1300,2025-04-21,2025-04-24,2025-05-07,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,60218ee8-2589-4492-a190-299313b67dfa,2025165,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 330 via exact_order_number
skip_existing,exact_existing_order_number,2025166,falcon_2025_orders_enriched_review.csv,47,Premier Bank,Premier Bank,reuse,130,4051 Lockbourne Industrial Pkwy,Columbus,OH,2025,completed,Industrial,1300,2025-04-21,2025-04-24,2025-05-07,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,756c26e8-9561-4e52-aa94-2e5bd1333fe0,2025166,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 332 via exact_order_number
skip_existing,exact_existing_order_number,2025167,falcon_2025_orders_enriched_review.csv,48,Premier Bank,Premier Bank,reuse,130,4141 Lockbourne Industrial Pkwy,Columbus,OH,2025,completed,Industrial,1300,2025-04-21,2025-04-24,2025-05-07,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,e88e34fd-0a23-4584-b758-50ce240258eb,2025167,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 334 via exact_order_number
skip_existing,exact_existing_order_number,2025168,falcon_2025_orders_enriched_review.csv,49,Premier Bank,Premier Bank,reuse,130,4140 Lockbourne Industrial Pkwy,Columbus,OH,2025,completed,Industrial,1300,2025-04-21,2025-04-24,2025-05-07,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,34fee05a-14e0-43d1-b846-420e05ee39ea,2025168,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 336 via exact_order_number
skip_existing,exact_existing_order_number,2025170,falcon_2025_orders_enriched_review.csv,50,Fair Rental Values,Fair Rental Values,reuse,8,18125 Coastline Drive,Malibu,CA,2025,completed,Multifamily,2500,2025-04-23,,05/30/2025,CD,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,0d5a6d60-8bba-4b30-a324-04f23ad93e81,2025170,Fair Rental Values,High - Order Book validated,validated/enriched from Order Book row 340 via exact_order_number
skip_existing,exact_existing_order_number,2025171,falcon_2025_orders_enriched_review.csv,51,Paul Avery,Paul Avery,reuse,129,44 Arco Drive,Toledo,OH,2025,completed,Special Purpose,1000,2025-04-28,,2025-05-15,MS,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,b2613e65-e347-482d-9812-2cd3dc822fb4,2025171,Paul Avery,High - Order Book validated,validated/enriched from Order Book row 342 via exact_order_number
skip_existing,exact_existing_order_number,2025172,falcon_2025_orders_enriched_review.csv,52,Farmers & Merchants State Bank,Farmers & Merchants State Bank,reuse,94,"15, 17, 19, 23, & 25 South Superior Street",Toledo,OH,2025,completed,Mixed Use,1200,2025-04-28,,2025-05-08,MS,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,2b1d6868-a5f4-49f7-b08c-df7f0748147b,2025172,Farmers & Merchants State Bank,High - Order Book validated,validated/enriched from Order Book row 344 via exact_order_number
skip_existing,exact_existing_order_number,2025174,falcon_2025_orders_enriched_review.csv,53,State Bank & Trust Co.,State Bank & Trust Co.,reuse,92,2113 County Road L,Edon,OH,2025,completed,Land,1600,2025-04-30,2025-05-08,2025-05-14,CD,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,f8dba3c9-f0c7-4a5d-a16a-e0c3cb55afb2,2025174,State Bank & Trust Co.,High - Order Book validated,validated/enriched from Order Book row 348 via exact_order_number
skip_existing,exact_existing_order_number,2025175,falcon_2025_orders_enriched_review.csv,54,Union Bank,Union Bank,reuse,6,Wiechart Lima Portfolio,Lima,OH,2025,completed,Multifamily,2700,2025-04-30,,2025-05-15,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,752b665b-a1a2-40e9-9769-8389e1fa8eb4,2025175,The Union Bank Company,High - Order Book validated,validated/enriched from Order Book row 350 via exact_order_number
skip_existing,exact_existing_order_number,2025179,falcon_2025_orders_enriched_review.csv,55,Croghan Colonial Bank,Croghan Colonial Bank,reuse,55,3840 N. Summit Street,Toledo,OH,2025,completed,Special Purpose,500,2025-05-01,,2025-05-08,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,a29deb50-e0a9-418a-a4cb-c0896264e56a,2025179,Croghan Colonial Bank,High - promoted from rejected,validated/enriched from Order Book row 358 via exact_order_number
skip_existing,exact_existing_order_number,2025180,falcon_2025_orders_enriched_review.csv,56,Farmers & Merchants State Bank,Farmers & Merchants State Bank,reuse,94,4796 Dow Ridge Road,Orchard Lake,MI,2025,completed,Land,500,2025-05-02,2025-05-06,2025-05-09,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,8872035b-90ec-4fb3-a26a-e6db419c568d,2025180,Farmers & Merchants State Bank,High - Order Book validated,validated/enriched from Order Book row 360 via exact_order_number
skip_existing,exact_existing_order_number,2025182,falcon_2025_orders_enriched_review.csv,57,Premier Bank,Premier Bank,reuse,130,28271 Cedar Park Blvd,Perryburg,OH,2025,completed,Industrial,1200,2025-05-05,2025-05-09,2025-05-15,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,52af9e48-d06a-4cbc-8849-a72139d3563a,2025182,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 364 via exact_order_number
skip_existing,exact_existing_order_number,2025183,falcon_2025_orders_enriched_review.csv,58,Farmers & Merchants State Bank,Farmers & Merchants State Bank,reuse,94,9358 State Route 15,Bryan,OH,2025,completed,Special Purpose,1400,2025-05-05,2025-05-08,2025-05-19,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,d1c3708c-6728-4cb6-8056-4def2cf2202c,2025183,Farmers & Merchants State Bank,High - Order Book validated,validated/enriched from Order Book row 366 via exact_order_number
skip_existing,exact_existing_order_number,2025186,falcon_2025_orders_enriched_review.csv,59,Farmers & Merchants State Bank,Farmers & Merchants State Bank,reuse,94,2915 Glendale Avenue,Toledo,OH,2025,completed,Retail,1000,2025-05-05,,2025-05-15,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,4d5e1180-9251-487e-9d2f-d530eebf552f,2025186,Farmers & Merchants State Bank,High - Order Book validated,validated/enriched from Order Book row 372 via exact_order_number
